run,agent,week,type,no_response,partial_week_record,primary_chars,primary_exact_duplicate,primary_near_duplicate,primary_max_prior_jaccard,reflection_chars,reflection_exact_duplicate,reflection_near_duplicate,reflection_max_prior_jaccard
Run 1,Aaron Whitfield,1,joint,0,0,365,0,0,0.0,488,0,0,0.0
Run 1,Aaron Whitfield,1,solo,0,0,427,0,0,0.0,549,0,0,0.0
Run 1,Aaron Whitfield,1,solo,0,0,386,0,0,0.0,511,0,0,0.0
Run 1,Aaron Whitfield,1,solo,0,0,330,0,0,0.0,503,0,0,0.0
Run 1,Aaron Whitfield,1,solo,0,0,368,0,0,0.0,524,0,0,0.057143
Run 1,Aaron Whitfield,1,solo,0,0,430,0,0,0.024793,477,0,0,0.006098
Run 1,Aaron Whitfield,1,solo,0,0,425,0,0,0.006803,735,0,0,0.004717
Run 1,Aaron Whitfield,1,solo,0,0,466,0,0,0.0,643,0,0,0.009524
Run 1,Aaron Whitfield,1,solo,0,0,301,0,0,0.02,582,0,0,0.032864
Run 1,Aaron Whitfield,1,solo,0,0,399,0,0,0.046296,583,0,0,0.028249
Run 1,Aaron Whitfield,1,joint,0,0,329,0,0,0.0,568,0,0,0.0
Run 1,Aaron Whitfield,1,solo,0,0,327,0,0,0.034247,512,0,0,0.021164
Run 1,Aaron Whitfield,1,solo,0,0,458,0,0,0.040541,618,0,0,0.108225
Run 1,Aaron Whitfield,1,solo,0,0,270,0,0,0.0,467,0,0,0.011834
Run 1,Aaron Whitfield,1,solo,0,0,334,0,0,0.112,546,0,0,0.010929
Run 1,Aaron Whitfield,1,solo,0,0,337,0,0,0.067308,609,0,0,0.013953
Run 1,Aaron Whitfield,2,solo,0,0,391,0,0,0.608108,604,0,0,0.697842
Run 1,Aaron Whitfield,2,solo,0,0,278,0,0,0.009009,545,0,0,0.0
Run 1,Aaron Whitfield,2,solo,0,0,434,0,0,0.009346,581,0,0,0.015707
Run 1,Aaron Whitfield,2,solo,0,0,269,0,0,0.018018,477,0,0,0.041916
Run 1,Aaron Whitfield,2,solo,0,0,397,0,0,0.434783,604,1,0,1.0
Run 1,Aaron Whitfield,2,solo,0,0,340,0,0,0.016667,511,0,0,0.017857
Run 1,Aaron Whitfield,2,solo,0,0,360,0,0,0.138889,463,0,0,0.010989
Run 1,Aaron Whitfield,2,solo,0,0,440,0,0,0.008197,665,0,0,0.0
Run 1,Aaron Whitfield,2,solo,0,0,386,0,0,0.305882,526,0,0,0.63964
Run 1,Aaron Whitfield,2,solo,0,0,366,0,0,0.014085,612,0,0,0.005025
Run 1,Aaron Whitfield,2,solo,0,0,327,0,0,0.055556,544,0,0,0.034314
Run 1,Aaron Whitfield,2,solo,0,0,352,0,0,0.0,676,0,0,0.010256
Run 1,Aaron Whitfield,2,joint,1,0,11,0,0,0.0,0,0,0,0.0
Run 1,Aaron Whitfield,2,solo,0,0,327,1,0,1.0,701,0,0,0.430464
Run 1,Aaron Whitfield,2,solo,0,0,409,0,0,0.077586,624,0,0,0.024691
Run 1,Aaron Whitfield,2,solo,0,0,341,0,0,0.037037,561,0,0,0.040816
Run 1,Aaron Whitfield,2,solo,0,0,411,0,0,0.009524,659,0,0,0.030457
Run 1,Aaron Whitfield,2,solo,0,0,422,0,0,0.026144,615,0,0,0.015464
Run 1,Aaron Whitfield,3,joint,0,0,346,0,0,0.009901,542,0,0,0.005952
Run 1,Aaron Whitfield,3,solo,0,0,294,0,0,0.684211,769,0,0,0.048035
Run 1,Aaron Whitfield,3,solo,0,0,421,0,0,0.057971,612,0,0,0.013393
Run 1,Aaron Whitfield,3,solo,0,0,308,0,0,0.019048,507,0,0,0.021505
Run 1,Aaron Whitfield,3,solo,0,0,405,0,0,0.035211,623,0,0,0.028571
Run 1,Aaron Whitfield,3,solo,0,0,510,0,0,0.038462,510,0,0,0.058824
Run 1,Aaron Whitfield,3,solo,0,0,399,0,0,0.055556,727,0,0,0.220657
Run 1,Aaron Whitfield,3,solo,0,0,290,0,0,0.065421,567,0,0,0.010811
Run 1,Aaron Whitfield,3,solo,0,0,295,0,0,0.017094,614,0,0,0.011111
Run 1,Aaron Whitfield,3,solo,0,0,421,0,0,0.008696,619,0,0,0.009346
Run 1,Aaron Whitfield,3,solo,0,0,397,0,1,0.853659,612,1,0,1.0
Run 1,Aaron Whitfield,3,solo,0,0,312,0,0,0.051546,668,0,0,0.022222
Run 1,Aaron Whitfield,3,solo,0,0,550,0,0,0.053333,655,0,0,0.028571
Run 1,Aaron Whitfield,3,solo,0,0,506,0,0,0.006944,616,0,0,0.034653
Run 1,Aaron Whitfield,3,solo,0,0,386,0,1,0.84507,589,0,0,0.734848
Run 1,Aaron Whitfield,3,solo,0,0,239,0,0,0.060976,510,0,0,0.027624
Run 1,Aaron Whitfield,3,solo,0,0,443,0,0,0.061947,658,0,0,0.016461
Run 1,Aaron Whitfield,3,solo,0,0,340,0,0,0.030534,630,0,0,0.042453
Run 1,Aaron Whitfield,4,solo,0,0,397,1,0,1.0,569,0,0,0.766129
Run 1,Aaron Whitfield,4,solo,0,0,453,0,0,0.015625,714,0,0,0.014354
Run 1,Aaron Whitfield,4,solo,0,0,341,0,0,0.017699,633,0,0,0.015625
Run 1,Aaron Whitfield,4,solo,0,0,399,0,0,0.05036,598,0,0,0.029557
Run 1,Aaron Whitfield,4,solo,0,0,381,0,0,0.726027,633,0,0,0.563636
Run 1,Aaron Whitfield,4,solo,0,0,423,0,0,0.016393,532,0,0,0.054645
Run 1,Aaron Whitfield,4,solo,0,0,539,0,0,0.038462,546,0,0,0.024038
Run 1,Aaron Whitfield,4,solo,0,0,352,0,0,0.0,594,0,0,0.0
Run 1,Aaron Whitfield,4,joint,1,0,11,1,0,0.0,0,0,0,0.0
Run 1,Aaron Whitfield,4,solo,0,0,313,0,0,0.293478,635,0,1,0.919355
Run 1,Aaron Whitfield,4,solo,0,0,399,0,1,0.82716,601,0,0,0.00995
Run 1,Aaron Whitfield,4,solo,0,0,292,0,0,0.037879,573,0,0,0.015075
Run 1,Aaron Whitfield,4,solo,0,0,407,0,0,0.048077,489,0,0,0.016393
Run 1,Aaron Whitfield,4,solo,0,0,286,0,0,0.116071,572,0,0,0.061538
Run 1,Aaron Whitfield,4,solo,1,0,11,0,0,0.0,11,0,0,0.0
Run 1,Aaron Whitfield,4,solo,0,0,358,0,0,0.051546,498,0,0,0.065217
Run 1,Aaron Whitfield,4,solo,0,0,630,0,0,0.044025,514,0,0,0.014423
Run 1,Aaron Whitfield,4,solo,0,0,439,0,0,0.025773,487,0,0,0.029268
Run 1,Aaron Whitfield,5,joint,1,0,11,1,0,0.0,0,0,0,0.0
Run 1,Aaron Whitfield,5,solo,0,0,383,0,1,0.848485,697,0,0,0.606452
Run 1,Aaron Whitfield,5,solo,0,0,416,0,0,0.132812,692,0,1,0.857143
Run 1,Aaron Whitfield,5,solo,0,0,354,0,0,0.009259,789,0,0,0.017167
Run 1,Aaron Whitfield,5,solo,0,0,442,0,0,0.069444,458,0,0,0.022472
Run 1,Aaron Whitfield,5,solo,0,0,356,0,0,0.027027,552,0,0,0.014423
Run 1,Aaron Whitfield,5,solo,0,0,448,0,0,0.65,695,0,1,0.925926
Run 1,Aaron Whitfield,5,solo,0,0,378,0,0,0.017699,485,0,0,0.030457
Run 1,Aaron Whitfield,5,solo,0,0,384,0,0,0.041379,653,0,0,0.068182
Run 1,Aaron Whitfield,5,solo,0,0,287,0,0,0.041667,595,0,0,0.025907
Run 1,Aaron Whitfield,5,joint,1,0,11,1,0,0.0,0,0,0,0.0
Run 1,Aaron Whitfield,5,solo,0,0,450,0,1,0.868421,697,1,0,1.0
Run 1,Aaron Whitfield,5,solo,0,0,381,1,0,1.0,728,0,1,0.893617
Run 1,Aaron Whitfield,5,solo,0,0,265,0,0,0.109756,552,0,0,0.044554
Run 1,Aaron Whitfield,5,solo,0,0,396,0,0,0.117021,637,0,0,0.024155
Run 1,Aaron Whitfield,5,solo,0,0,372,0,0,0.026316,616,0,0,0.029851
Run 1,Aaron Whitfield,6,solo,0,0,381,1,0,1.0,967,0,0,0.55102
Run 1,Aaron Whitfield,6,solo,0,0,412,0,0,0.008475,511,0,0,0.017857
Run 1,Aaron Whitfield,6,solo,0,0,302,0,0,0.037037,527,0,0,0.031088
Run 1,Aaron Whitfield,6,solo,0,0,300,0,0,0.028571,630,0,0,0.010471
Run 1,Aaron Whitfield,6,solo,0,0,448,1,0,1.0,967,1,0,1.0
Run 1,Aaron Whitfield,6,solo,0,0,355,0,0,0.072581,516,0,0,0.052083
Run 1,Aaron Whitfield,6,solo,0,0,353,0,0,0.051724,510,0,0,0.020101
Run 1,Aaron Whitfield,6,solo,0,0,382,0,0,0.099099,610,0,0,0.027523
Run 1,Aaron Whitfield,6,joint,1,0,11,1,0,0.0,0,0,0,0.0
Run 1,Aaron Whitfield,6,solo,0,0,428,0,0,0.236842,1145,0,0,0.299674
Run 1,Aaron Whitfield,6,solo,0,0,448,1,0,1.0,967,1,0,1.0
Run 1,Aaron Whitfield,6,solo,0,0,467,0,0,0.043796,631,0,0,0.055276
Run 1,Aaron Whitfield,6,solo,0,0,366,0,0,0.088,494,0,0,0.022346
Run 1,Aaron Whitfield,6,solo,0,0,602,0,0,0.017241,532,0,0,0.013393
Run 1,Aaron Whitfield,6,solo,0,0,448,1,0,1.0,967,1,0,1.0
Run 1,Aaron Whitfield,6,solo,0,0,312,0,0,0.022901,599,0,0,0.015873
Run 1,Aaron Whitfield,6,solo,0,0,378,0,0,0.080357,523,0,0,0.046392
