key,expected_title,year,topic,official_url,http_status,resolved_url,page_title,result,note
park2023generative,Generative Agents: Interactive Simulacra of Human Behavior,2023,social-simulation-architecture,https://doi.org/10.1145/3586183.3606763,403,https://dl.acm.org/doi/10.1145/3586183.3606763,,error,HTTP Error 403: Forbidden
zhou2024sotopia,SOTOPIA: Interactive Evaluation for Social Intelligence in Language Agents,2024,social-agent-evaluation,https://proceedings.iclr.cc/paper_files/paper/2024/hash/b3075b88e583a0e98d8b24338a613060-Abstract-Conference.html,200,https://proceedings.iclr.cc/paper_files/paper/2024/hash/b3075b88e583a0e98d8b24338a613060-Abstract-Conference.html,SOTOPIA: Interactive Evaluation for Social Intelligence in Language Agents,ok,
wang2024sotopiapi,SOTOPIA-pi: Interactive Learning of Socially Intelligent Language Agents,2024,social-agent-evaluation,https://aclanthology.org/2024.acl-long.698/,200,https://aclanthology.org/2024.acl-long.698/,SOTOPIA-π: Interactive Learning of Socially Intelligent Language Agents - ACL Anthology,ok,
goel2025lifelong,LIFELONG SOTOPIA: Evaluating Social Intelligence of Language Agents Over Lifelong Social Interactions,2025,long-horizon-evaluation,https://arxiv.org/abs/2506.12666,,,,error,<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1032)>
wang2026agentopia,Agentopia: Long-Term Life Simulation and Learning in Agent Societies,2026,long-horizon-social-simulation,https://arxiv.org/abs/2606.07513,,,,error,<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1032)>
zhang2025agentsociety,A Parallelized Framework for Simulating Large-Scale LLM Agents with Realistic Environments and Interactions,2025,simulation-infrastructure,https://aclanthology.org/2025.acl-industry.94/,200,https://aclanthology.org/2025.acl-industry.94/,A Parallelized Framework for Simulating Large-Scale LLM Agents with Realistic Environments and Interactions - ACL Anthology,ok,
tang2025gensim,GenSim: A General Social Simulation Platform with Large Language Model based Agents,2025,simulation-infrastructure,https://aclanthology.org/2025.naacl-demo.15/,200,https://aclanthology.org/2025.naacl-demo.15/,GenSim: A General Social Simulation Platform with Large Language Model based Agents - ACL Anthology,ok,
aher2023simulate,Using Large Language Models to Simulate Multiple Humans and Replicate Human Subject Studies,2023,simulation-validity,https://proceedings.mlr.press/v202/aher23a.html,200,https://proceedings.mlr.press/v202/aher23a.html,Using Large Language Models to Simulate Multiple Humans and Replicate Human Subject Studies,ok,
argyle2023outofone,"Out of One, Many: Using Language Models to Simulate Human Samples",2023,simulation-validity,https://doi.org/10.1017/pan.2023.2,200,https://www.cambridge.org/core/journals/political-analysis/article/abs/out-of-one-many-using-language-models-to-simulate-human-samples/035D7C8A55B237942FB6DBAD7CAA4E49,"Out of One, Many: Using Language Models to Simulate Human Samples | Political Analysis | Cambridge Core Logo for Cambridge Core from Cambridge University Press. Click to return to homepage. Logo for Cambridge Core from Cambridge University Press. Click to return to homepage.",ok,
zhou2024reallife,Is this the real life? Is this just fantasy? The Misleading Success of Simulating Social Interactions With LLMs,2024,simulation-validity,https://aclanthology.org/2024.emnlp-main.1208/,200,https://aclanthology.org/2024.emnlp-main.1208/,Is this the real life? Is this just fantasy? The Misleading Success of Simulating Social Interactions With LLMs - ACL Anthology,ok,
gao2024survey,Large language models empowered agent-based modeling and simulation: a survey and perspectives,2024,survey-validity-ethics,https://doi.org/10.1057/s41599-024-03611-3,200,https://www.nature.com/articles/s41599-024-03611-3,Client Challenge,ok,
zeng2026toohuman,Too human to model: the uncanny valley of large language models in simulating human systems,2026,simulation-validity,https://doi.org/10.1038/s44260-026-00075-1,200,https://www.nature.com/articles/s44260-026-00075-1,Client Challenge,ok,
xiong2026memory,How Memory Management Impacts LLM Agents: An Empirical Study of Experience-Following Behavior,2026,agent-memory,https://aclanthology.org/2026.acl-long.27/,200,https://aclanthology.org/2026.acl-long.27/,How Memory Management Impacts LLM Agents: An Empirical Study of Experience-Following Behavior - ACL Anthology,ok,
